"date_dt","c_agent","contract","doc","division","frc","nom_g","div_frc","nom_frc","amount"
2025-01-31 13:56:00.000,АМР АО,Договор №АТП-П 150/15 от 25.05.15г.,"Реализация (акт, накладная, УПД) 00БП-000042 от 31.01.2025 13:56:35","08 АО ""Алюминий Металлург Рус""",Оценка и технический контроль,"01-1. Контроль качества продукции",Оценка и технический контроль,Оценка и технический контроль,439431.25
2025-01-31 13:56:00.000,АМР АО,Договор №АТП-П 150/15 от 25.05.15г.,"Реализация (акт, накладная, УПД) 00БП-000042 от 31.01.2025 13:56:35","08 АО ""Алюминий Металлург Рус""",Оценка и технический контроль,"01-1. Контроль качества продукции",Оценка и технический контроль,Оценка и технический контроль,7761.74
2025-01-31 13:56:00.000,АМР АО,Договор №АТП-П 150/15 от 25.05.15г.,"Реализация (акт, накладная, УПД) 00БП-000042 от 31.01.2025 13:56:35","08 АО ""Алюминий Металлург Рус""",Оценка и технический контроль,"01-1. Контроль качества продукции",Оценка и технический контроль,Оценка и технический контроль,8651.79
2025-01-31 13:56:00.000,АМР АО,Договор №АТП-П 150/15 от 25.05.15г.,"Реализация (акт, накладная, УПД) 00БП-000042 от 31.01.2025 13:56:35","08 АО ""Алюминий Металлург Рус""",Оценка и технический контроль,"01-1. Контроль качества продукции",Оценка и технический контроль,Оценка и технический контроль,46288.65
2025-01-31 13:56:00.000,МГМ ООО,Договор №АТП-П 282/18 от 29.06.18г.,"Реализация (акт, накладная, УПД) 00БП-000032 от 31.01.2025 13:56:25","11 ООО МЗ ""Камасталь"", ""Камский кабель""",Оценка и технический контроль,"01-1. Контроль качества продукции",Оценка и технический контроль,Оценка и технический контроль,73102.8
2025-01-31 13:56:00.000,МГМ ООО,Договор №АТП-П 282/18 от 29.06.18г.,"Реализация (акт, накладная, УПД) 00БП-000032 от 31.01.2025 13:56:25","11 ООО МЗ ""Камасталь"", ""Камский кабель""",Оценка и технический контроль,"01-1. Контроль качества продукции",Оценка и технический контроль,Оценка и технический контроль,282762.87
2025-01-31 13:56:00.000,КАМСКИЙ КАБЕЛЬ ООО,Договор №АТП-П 029/13 от 27.11.12г.,"Реализация (акт, накладная, УПД) 00БП-000033 от 31.01.2025 13:56:26","11 ООО МЗ ""Камасталь"", ""Камский кабель""",Оценка и технический контроль,"01-1. Контроль качества продукции",Оценка и технический контроль,Оценка и технический контроль,12301.36
2025-01-31 13:56:00.000,КАМСКИЙ КАБЕЛЬ ООО,Договор №АТП-П 029/13 от 27.11.12г.,"Реализация (акт, накладная, УПД) 00БП-000033 от 31.01.2025 13:56:26","11 ООО МЗ ""Камасталь"", ""Камский кабель""",Оценка и технический контроль,"01-1. Контроль качества продукции",Оценка и технический контроль,Оценка и технический контроль,743.34
2025-01-31 13:56:00.000,КАМСКИЙ КАБЕЛЬ ООО,Договор №АТП-П 029/13 от 27.11.12г.,"Реализация (акт, накладная, УПД) 00БП-000033 от 31.01.2025 13:56:26","11 ООО МЗ ""Камасталь"", ""Камский кабель""",Оценка и технический контроль,"01-1. Контроль качества продукции",Оценка и технический контроль,Оценка и технический контроль,80986.87
2025-01-31 13:56:00.000,КАМСКИЙ КАБЕЛЬ ООО,Договор №АТП-П 029/13 от 27.11.12г.,"Реализация (акт, накладная, УПД) 00БП-000033 от 31.01.2025 13:56:26","11 ООО МЗ ""Камасталь"", ""Камский кабель""",Оценка и технический контроль,"01-1. Контроль качества продукции",Оценка и технический контроль,Оценка и технический контроль,4198.92
